"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","Response"
7.867,19.225,1.154,1,12.8,"M1",2.053,9.293,60.231,4,-13.359
6.265,20.46,1.043,1,9.012,"M2",3.592,8.376,60.182,7,-18.883
7.25,20.736,1.213,0,10.019,"M1",2.111,7.234,62.952,6,-33.527
7.299,21.3,1.479,1,10.311,"M3",2.468,7.367,65.79,7,-38.365
7.085,19.255,1.334,0,12.293,"M1",2.263,6.913,57.298,7,-33.511
7.067,19.95,1.193,2,9.91,"M1",2.617,8.205,54.625,5,-24.817
7.775,20.949,1.415,1,11.155,"M1",3.346,9.292,59.126,6,-23.982
6.915,19.406,1.292,1,9.736,"M1",3.206,8.035,53.239,8,-26.14
7.065,20.73,1.17,2,11.25,"M2",3.115,7.734,59.436,5,-18.925
7.675,18.522,1.123,1,12.389,"M1",2.064,7.41,52.852,7,-22.844
6.749,19.993,1.111,1,8.75,"M2",2.255,7.705,59.823,3,-15.175
6.564,20.103,1.241,2,9.138,"M1",3.639,7.609,57.722,5,-33.697
6.723,19.313,1.27,1,8.858,"M1",4.006,7.899,57.269,5,-27.18
7.808,18.675,1.206,1,12.604,"M2",2.278,7.6,54.81,6,-10.713
6.865,19.673,1.262,0,8.113,"M1",2.467,8.267,62.923,9,-25.732
6.165,19.617,1.042,1,9.482,"M2",3.462,9.306,58.425,6,-8.476
7.002,20.25,1.206,2,9.962,"M3",2.931,6.839,64.614,6,-36.125
6.635,18.61,1.261,0,9.4,"M1",3.088,7.482,56.31,2,-27.522
7.221,18.897,0.998,1,11.071,"M2",2.069,7.86,55.248,7,-11.117
7.771,19.37,1.191,0,11.373,"M2",3.037,7.427,57.39,5,-15.964
6.885,20.423,1.245,0,10.703,"M1",2.187,7.587,65.745,7,-34.757
6.746,18.729,1.233,0,10.179,"M1",2.053,7.347,56.554,7,-25.269
6.884,20.767,1.139,1,9.719,"M1",2.614,7.464,62.891,4,-36.038
7.331,20.993,1.288,2,10.915,"M1",2.089,8.775,62.851,5,-26.758
6.913,21.072,1.141,1,10.032,"M2",2.828,7.789,63.42,5,-22.774
7.502,20.962,1.235,1,11.709,"M2",2.92,9.096,61.065,7,-13.066
7.617,21.24,1.31,1,10.894,"M1",2.919,7.905,63.465,7,-33.904
7.637,19.268,1.087,1,11.822,"M2",3.11,8.917,56.569,6,-4.561
6.707,20.6,1.009,2,10.592,"M3",3.729,7.617,57.611,7,-34.814
6.248,20.804,1.318,0,9.571,"M2",3.414,7.926,63.966,6,-23.939
