"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","Response"
6.835,20.024,1.287,2,9.634,"M1",3.519,7.68,2.209,8,13.16
7.653,19.631,1.22,0,11.906,"M1",3.567,7.729,2.848,3,20.063
7.085,19.904,1.174,2,10.025,"M1",3.903,8.045,4.12,6,14.432
6.974,20.122,1.224,1,11.294,"M2",2.253,8.31,2.72,6,19.108
6.476,20.025,1.252,2,9.796,"M1",3.286,7.358,2.916,6,10.153
6.899,19.978,1.254,1,10.737,"M1",3.245,7.982,3.543,7,14.379
7.134,20.493,1.174,2,10.729,"M1",2.499,7.082,2.592,7,15.261
6.769,20.299,1.345,0,9.866,"M2",3.166,6.516,3.854,9,16.226
6.324,20.448,1.22,1,9.934,"M1",2.06,7.442,4.211,6,9.099
6.533,20.108,1.282,1,9.72,"M1",3.959,8.088,3.321,5,10.452
7.105,21.313,1.243,1,10.328,"M1",2.63,8.029,3.526,6,14.114
7.363,20.168,1.174,2,10.709,"M1",2.008,7.983,3.302,5,16.688
6.319,19.415,1.105,0,9.692,"M1",3.321,7.674,3.37,5,10.17
6.949,19.635,1.22,3,10.421,"M2",2.517,7.705,2.882,6,18.63
7.559,18.6,1.141,0,10.904,"M1",2.815,8.434,2.854,7,19.632
6.485,21.402,1.084,0,9.314,"M1",3.519,7.781,2.775,5,10.744
7.148,18.2,1.232,1,10.097,"M2",2.689,7.941,2.337,2,21.596
7.102,19.314,1.149,1,11.129,"M1",3.25,7.853,3.045,7,16.187
7.847,19.135,1.197,2,11.431,"M1",2.863,8.001,2.871,7,22.568
7.327,18.935,1.29,0,11.678,"M2",3.332,8.148,2.8,6,22.108
6.922,20.293,1.108,1,11.033,"M1",4.054,9.102,3.415,7,13.738
7.665,18.119,1.382,1,10.872,"M3",3.601,8.441,3.478,4,19.661
7.617,20.645,1.189,0,12.265,"M1",2.649,7.649,4.37,5,20.017
7.193,21.195,1.316,2,12.138,"M1",3.339,7.576,3.629,5,15.123
6.676,19.988,1.268,1,10.025,"M1",2.981,8.514,3.313,9,11.604
7.365,18.04,1.158,2,10.311,"M2",3.5,7.47,4.923,3,24.598
6.175,19.378,0.954,1,9.477,"M3",2.59,7.997,2.801,3,9.343
7.313,18.933,1.245,3,11.984,"M1",2.639,8.122,3.563,6,17.609
6.533,20.67,1.084,3,8.801,"M1",3.386,7.298,3.327,6,12.389
7.25,19.226,1.097,0,12.006,"M1",2.635,7.778,3.116,6,17.217
