"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","Response"
7.299,19.975,1.124,2,11.838,"M2",2.881,1.23,2.919,7,2.223,0.918,0.905,8.257,"nein",41,0.657,6.937,5,12.257,-152.928
6.705,19.649,1.344,1,10.273,"M1",2.839,1.123,2.325,5,6.771,0.827,0.86,9.358,"nein",47,0.286,7.365,7,14.251,-173.111
6.663,21.025,1.013,2,11.774,"M1",2.615,0.8,2.775,7,1.358,0.833,0.588,9.366,"nein",47,0.213,6.379,7,13.829,-185.934
6.709,20.627,1.026,2,10.113,"M1",3.616,1.063,3.021,8,2.106,0.765,0.705,8.046,"nein",41,0.804,8.082,6,14.794,-160.969
7.001,19.252,1.102,0,11.137,"M1",2.291,0.939,1.89,5,3.37,0.846,0.941,9.562,"ja",48,0.735,6.785,7,10.907,-180.682
6.642,17.698,1.347,0,10.38,"M2",2.094,1.01,3.772,5,3.284,0.769,0.479,9.391,"ja",48,0.964,8.224,9,13.834,-161.487
7.002,20.252,1.093,1,10.715,"M3",3.413,0.979,2.486,4,2.659,0.873,0.725,9.4,"nein",47,0.945,6.435,6,12.838,-176.814
6.918,19.991,1.212,1,9.787,"M1",3.821,0.913,3.592,8,5.107,0.941,0.433,10.124,"ja",50,0.319,6.987,8,12.166,-195.034
7.011,20.337,1.269,2,10.187,"M1",3.861,1.134,3.141,7,1.504,0.914,0.477,9.217,"nein",45,0.493,6.648,4,14.218,-173.986
7.088,19.05,1.358,1,11.352,"M2",3.458,0.764,4.214,4,5.719,0.75,0.467,7.137,"nein",36,0.569,8.377,7,11.279,-135.137
6.958,20.074,1.059,1,10.084,"M1",2.997,1.232,2.261,3,6.308,0.793,0.603,8.864,"ja",44,0.727,6.805,10,14.885,-174.901
7.004,20.461,1.287,1,10.851,"M2",3.982,0.873,2.822,2,2.132,0.732,0.621,8.088,"nein",41,0.327,6.981,6,10.986,-152.255
7.311,18.865,1.163,1,10.17,"M2",2.832,0.931,3.251,6,3.073,1,0.479,9.273,"nein",46,0.891,7.106,5,12.051,-159.422
7.239,20.334,1.373,0,10.537,"M1",3.535,1.048,3.741,5,3.556,0.85,0.686,9.25,"ja",46,0.716,5.94,6,12.651,-180.376
7.305,21.458,1.173,2,9.568,"M1",3.763,0.919,3.111,8,2.274,0.845,0.627,9.581,"ja",47,0.951,6.252,9,14.619,-191.947
7.113,21.463,1.164,2,11.958,"M1",3.903,0.942,2.767,5,4.368,1.026,0.718,7.139,"nein",36,0.956,5.553,5,10.485,-157.388
7.673,20.023,1.14,0,11.784,"M2",2.603,0.921,3.456,5,2.703,0.807,0.481,7.357,"nein",36,0.294,6.311,8,13.295,-134.717
6.376,19.977,1.14,0,9.21,"M2",3.869,1.043,3.069,6,5.754,0.836,0.493,7.489,"ja",37,0.552,8.293,5,12.464,-149.815
7.274,20.85,1.042,1,10.304,"M1",3.372,0.982,4.466,4,5.021,0.883,0.84,8.17,"ja",41,0.796,8.274,9,12.644,-169.07
7.436,20.172,1.211,0,10.833,"M1",3.663,0.707,2.854,7,2.939,0.677,0.656,9.24,"ja",47,0.359,6.02,6,13.95,-182.295
6.471,22.297,1.282,0,8.702,"M1",2.158,1.146,2.949,3,5.431,0.712,0.532,8.92,"ja",45,0.952,9.241,7,10.789,-193.071
7.032,18.124,1.095,0,9.907,"M1",2.037,1.335,3.168,9,5.909,0.758,0.703,8.361,"nein",42,0.295,6.782,7,12.612,-148.749
6.586,19.864,1.173,1,10.906,"M1",2.354,1.095,3.506,4,1.757,0.923,0.515,7.35,"nein",36,0.191,7.705,8,13.762,-146.1
7.203,17.839,1.134,3,10.956,"M2",3.174,1.094,4.729,10,3.347,0.798,0.703,8.779,"ja",43,0.625,6.78,10,12.595,-149.641
7.091,18.492,1.181,0,9.838,"M2",2.89,1.201,2.51,6,2.999,0.648,0.962,8.93,"nein",45,0.938,6.575,8,12.561,-146.632
6.678,19.291,1.278,1,10.191,"M2",3.725,1.021,2.114,3,6.137,0.94,0.964,10.034,"ja",50,0.05,7.501,10,13.821,-171.894
7.345,19.302,1.357,0,11.436,"M1",3.963,1.108,3.248,8,2.166,0.773,0.596,8.699,"ja",44,0.014,6.022,8,11.126,-167.232
6.909,20.032,1.092,0,10.818,"M1",3.369,1.163,3.286,5,1.606,0.81,0.921,9.186,"ja",44,0.283,6.354,3,13.087,-182.975
7.473,21.852,0.98,1,11.634,"M1",3.925,1.365,2.899,7,2.801,0.92,0.782,8.563,"nein",44,0.551,6.644,9,12.414,-165.958
6.483,19.955,1.078,2,9.26,"M3",2.609,0.85,3.367,6,6.127,0.854,0.65,7.266,"ja",35,0.898,7.805,10,11.01,-154.492
7.223,19.755,1.205,1,11.234,"M1",3.915,0.607,3.523,4,1.759,0.651,0.963,7.159,"ja",36,0.648,6.068,4,10.858,-154.273
6.91,19.48,1.272,2,10.847,"M1",3.787,0.861,2.478,4,6.967,0.732,0.585,9.481,"nein",47,0.536,8.074,6,11.373,-179.06
5.918,19.641,1.147,0,8.402,"M2",2.919,1.199,1.949,6,4.452,0.844,0.627,7.696,"ja",38,0.629,6.892,6,13.73,-146.489
6.843,18.395,1.379,0,9.602,"M3",3.848,1.211,3.058,3,5.976,0.859,0.83,8.274,"ja",43,0.007,7.692,7,14.414,-148.775
7.036,21.366,1.311,2,10.907,"M1",3.849,1.363,3.875,8,5.18,0.632,0.604,9.384,"ja",48,0.989,6.426,9,11.119,-188.983
6.831,20.457,1.305,1,11.303,"M1",2.37,1.337,3.437,7,3.035,0.873,0.545,9.945,"nein",49,0.744,6.87,6,13.941,-183.338
7.062,18.457,1.286,0,9.694,"M1",3.24,1.02,3.483,3,6.866,0.828,0.747,8.915,"ja",45,0.198,5.356,7,10.538,-166.726
6.577,19.003,1.284,0,10.231,"M1",2.197,0.873,4.044,9,6.418,0.915,0.578,7.401,"ja",37,0.196,6.968,12,14.75,-149.145
7.657,21.561,1.437,0,11.37,"M2",3.519,1.135,2.706,7,6.853,0.684,0.559,7.755,"nein",39,0.875,7.99,6,11.391,-152.579
6.988,19.726,1.219,1,9.472,"M2",3.735,0.942,3.161,6,6.121,0.856,0.766,7.846,"nein",39,0.468,7.34,7,14.465,-142.29
6.868,19.522,1.135,0,11.093,"M1",2.722,0.94,3.208,8,2.455,0.612,0.501,9.027,"ja",44,0.28,6.723,7,14.457,-177.24
6.652,20.898,1.295,0,9.865,"M2",2.35,0.94,3.153,7,3.754,0.734,0.413,7.462,"nein",38,0.777,7.432,5,11.038,-151.404
6.968,20.137,1.477,0,10.058,"M2",2.681,0.807,3.803,3,3.096,0.715,0.502,9.783,"nein",49,0.646,6.371,12,10.383,-168.676
7.044,20.442,1.116,3,11.091,"M3",2.554,0.905,3.046,5,1.291,0.811,0.629,7.417,"nein",37,0.526,7.698,8,12.436,-151.917
6.957,19.653,1.213,0,10.844,"M1",3.313,1.047,3.212,9,1.964,0.706,0.515,8.392,"ja",42,0.779,7.688,9,11.992,-166.007
6.917,18.598,1.121,2,10.921,"M2",2.357,1.132,2.348,2,1.554,1.016,0.716,9.95,"nein",50,0.149,6.515,10,13.247,-158.096
7.237,19.729,1.439,2,9.787,"M1",2.667,1.045,3.46,5,2.624,0.983,0.864,9.55,"nein",48,0.532,8.22,8,14.163,-174.172
7.182,20.701,1.341,1,10.879,"M3",3.737,1.154,3.304,5,5.416,0.678,0.995,7.667,"ja",39,0.515,7.278,7,14.543,-162.029
6.08,20.073,1.417,1,9.429,"M1",3.021,0.956,2.516,6,3.769,0.668,0.502,9.113,"ja",46,0.082,7.043,3,10.183,-187.161
